"CASE_ID","mc_killed","mc_injured","collision_severity","severe","accident_year","hours_since_midnight","season","rush_hour","late_night","day_of_week","intersection","state_hwy_ind","w_clear","w_cloudy","w_rainy","w_other","road_not_dry","road_condition_issue","lighting","type_of_collision","pcf_viol_category","mviw","alcohol_involved","truck_accident","pedestrian_accident","bicycle_accident"
5460240,"N","Y","PDO (property damage only)","N",2012,23.0166666666667,"Winter","N","Y","Th","N","Y","Y","N","N","N","N","N","Dark - No Street Lights","Sideswipe","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5460644,"N","Y","PDO (property damage only)","N",2012,14.8333333333333,"Winter","N","N","Su","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5460720,"N","Y","PDO (property damage only)","N",2012,18.6666666666667,"Winter","PM","N","F","N","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5465025,"N","Y","Injury (Complaint of Pain)","N",2012,7.5,"Winter","AM","N","W","N","N","Y","N","N","N","N","N","Daylight","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5465229,"N","Y","Injury (Other Visible)","N",2012,19.8333333333333,"Winter","N","N","Tu","N","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5466631,"N","Y","Injury (Other Visible)","N",2012,20.9166666666667,"Winter","N","N","W","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5467400,"N","Y","Injury (Other Visible)","N",2012,14.5,"Winter","N","N","Su","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Lights","Other Motor Vehicle","N","N","N","N"
5467416,"N","Y","Injury (Other Visible)","N",2012,19.1666666666667,"Winter","N","N","M","N","N","Y","N","N","N","N","N","Dark - Street Lights","Rear End","Wrong Side of Road","Parked Motor Vehicle","N","N","N","N"
5467510,"N","Y","Injury (Complaint of Pain)","N",2012,6.66666666666667,"Winter","N","N","F","N","Y","Y","N","N","N","N","N","Dusk or Dawn","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5468008,"N","Y","Injury (Complaint of Pain)","N",2012,15,"Winter","PM","N","M","N","N","Y","N","N","N","N","N","Daylight","Hit Object","Wrong Side of Road","Fixed Object","N","N","N","N"
5468065,"N","N","Injury (Complaint of Pain)","N",2012,18.5,"Winter","PM","N","W","N","Y","Y","N","N","N","N","N","Dark - No Street Lights","Sideswipe","Unsafe Speed","Other Motor Vehicle","Y","N","N","N"
5475351,"N","Y","Injury (Other Visible)","N",2012,13,"Winter","N","N","Sa","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Lights","Other Motor Vehicle","N","N","N","N"
5478796,"N","Y","Injury (Complaint of Pain)","N",2012,16.5,"Winter","N","N","Su","Y","N","N","Y","N","N","N","N","Daylight","Broadside","Driving or Bicycling Under the Influence of Alcohol or Drug","Other Motor Vehicle","N","N","N","N"
5480637,"N","Y","Injury (Complaint of Pain)","N",2012,19.5833333333333,"Winter","N","N","Su","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5481374,"N","Y","PDO (property damage only)","N",2012,15.6666666666667,"Winter","PM","N","F","N","N","N","Y","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5482871,"N","Y","Injury (Complaint of Pain)","N",2012,18,"Winter","PM","N","W","N","N","Y","N","N","N","N","N","Dark - Street Lights","Head-On","Pedestrian Violation","Other Motor Vehicle","N","Y","N","N"
5483086,"N","Y","Injury (Complaint of Pain)","N",2012,6.83333333333333,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Dusk or Dawn","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5483159,"N","Y","PDO (property damage only)","N",2012,15.9166666666667,"Winter","PM","N","F","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Motor Vehicle on Other Roadway","N","N","N","N"
5483198,"N","Y","Injury (Complaint of Pain)","N",2012,13,"Winter","N","N","Sa","Y","N","Y","N","N","N","N","N","Daylight","Sideswipe","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5483200,"N","Y","Injury (Complaint of Pain)","N",2012,19.75,"Winter","N","N","Tu","N","N","Y","N","N","N","N","N","Dark - No Street Lights","Sideswipe","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5483221,"N","Y","PDO (property damage only)","N",2012,2.33333333333333,"Winter","N","Y","Sa","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Driving or Bicycling Under the Influence of Alcohol or Drug","Other Motor Vehicle","N","N","N","N"
5483322,"N","Y","PDO (property damage only)","N",2012,20.3333333333333,"Winter","N","N","F","N","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5483865,"N","Y","PDO (property damage only)","N",2012,11.0833333333333,"Winter","N","N","Su","N","Y","Y","N","N","N","N","N","Daylight","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5484212,"N","Y","PDO (property damage only)","N",2012,12.5,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Daylight","Sideswipe","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5485130,"N","Y","Injury (Other Visible)","N",2012,19.5,"Winter","N","N","Tu","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Head-On","Unsafe Speed","Other Motor Vehicle","Y","N","N","N"
5485139,"N","Y","Injury (Other Visible)","N",2012,13.3333333333333,"Winter","N","N","M","N","N","Y","N","N","N","N","N","Daylight","Sideswipe","Automobile Right of Way","Other Motor Vehicle","Y","N","N","N"
5485141,"N","Y","PDO (property damage only)","N",2012,21.25,"Winter","N","N","W","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5485169,"N","Y","PDO (property damage only)","N",2012,16.3333333333333,"Winter","PM","N","Tu","N","N","Y","N","N","N","N","N","Daylight","Broadside","Unsafe Starting or Backing","Other Motor Vehicle","N","N","N","N"
5485188,"N","Y","Injury (Complaint of Pain)","N",2012,20.6333333333333,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Dark - Street Lights","Head-On","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5485557,"N","Y","Injury (Complaint of Pain)","N",2012,13.5,"Winter","N","N","F","N","N","Y","N","N","N","N","N","Daylight","Sideswipe","Driving or Bicycling Under the Influence of Alcohol or Drug","Other Motor Vehicle","N","N","N","N"
5485605,"N","Y","Injury (Other Visible)","N",2012,21.8333333333333,"Winter","N","N","Tu","N","Y","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5485880,"N","Y","PDO (property damage only)","N",2012,13.3333333333333,"Winter","N","N","Sa","Y","N","Y","N","N","N","N","N","Daylight","Rear End","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5485883,"N","Y","Injury (Complaint of Pain)","N",2012,16.6666666666667,"Winter","PM","N","F","Y","N","Y","N","N","N","N","N","Daylight","Sideswipe","Pedestrian Violation","Non-Collision","N","N","N","N"
5485907,"N","Y","Injury (Other Visible)","N",2012,14.9166666666667,"Winter","N","N","F","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5486549,"N","Y","Injury (Complaint of Pain)","N",2012,15.1666666666667,"Winter","PM","N","F","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5486635,"N","Y","PDO (property damage only)","N",2012,17.8333333333333,"Winter","PM","N","Tu","N","Y","Y","N","N","N","N","N","Dark - No Street Lights","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5488521,"N","Y","Injury (Complaint of Pain)","N",2012,14,"Winter","N","N","Tu","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5489250,"N","Y","Injury (Other Visible)","N",2012,12.3333333333333,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Daylight","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5490145,"N","Y","Injury (Complaint of Pain)","N",2012,15.0666666666667,"Winter","PM","N","Th","N","Y","Y","N","N","N","N","N","Daylight","Overturned","Automobile Right of Way","Non-Collision","N","N","N","N"
5490261,"N","Y","Injury (Other Visible)","N",2012,6.66666666666667,"Winter","N","N","F","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Unsafe Lane Change","Other Motor Vehicle","N","N","N","N"
5492742,"N","Y","Injury (Other Visible)","N",2012,17.75,"Winter","N","N","Su","Y","Y","Y","N","N","N","N","N","Dusk or Dawn","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5492762,"N","Y","Injury (Other Visible)","N",2012,19.5,"Winter","N","N","Su","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Sideswipe","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5493033,"N","Y","Injury (Complaint of Pain)","N",2012,7.75,"Winter","AM","N","Tu","N","Y","N","N","N","Y","N","N","Daylight","Sideswipe","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5493083,"N","Y","PDO (property damage only)","N",2012,14.1666666666667,"Winter","N","N","W","N","Y","N","Y","N","N","N","N","Daylight","Rear End","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5493436,"N","Y","PDO (property damage only)","N",2012,9.8,"Winter","N","N","Th","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5493445,"N","Y","Injury (Complaint of Pain)","N",2012,5.25,"Winter","N","N","Th","N","Y","Y","N","N","N","N","N","Dark - No Street Lights","Hit Object","Pedestrian Right of Way","Fixed Object","N","N","N","N"
5493945,"N","Y","Injury (Complaint of Pain)","N",2012,14.75,"Winter","N","N","F","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5494105,"N","Y","Injury (Complaint of Pain)","N",2012,16.4166666666667,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5494121,"N","Y","Injury (Complaint of Pain)","N",2012,14.5,"Winter","N","N","Tu","N","N","Y","N","N","N","Y","N","Daylight","Hit Object","Wrong Side of Road","Fixed Object","N","N","N","N"
5494125,"N","Y","PDO (property damage only)","N",2012,15.25,"Winter","PM","N","Tu","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5494223,"N","Y","PDO (property damage only)","N",2012,18.25,"Winter","PM","N","F","N","N","Y","N","N","N","N","N","Dark - Street Lights","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5494538,"N","Y","PDO (property damage only)","N",2012,14.9166666666667,"Winter","N","N","Tu","N","N","Y","N","N","N","N","N","Daylight","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5494869,"N","Y","Injury (Complaint of Pain)","N",2012,15.6666666666667,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5495277,"N","Y","Injury (Other Visible)","N",2012,19.6666666666667,"Winter","N","N","Tu","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Head-On","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5495953,"N","Y","Injury (Other Visible)","N",2012,13.8333333333333,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5495957,"N","Y","Injury (Other Visible)","N",2012,14.75,"Winter","N","N","F","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Lights","Other Motor Vehicle","N","N","N","N"
5496554,"N","Y","Injury (Other Visible)","N",2012,16.25,"Winter","PM","N","Th","Y","N","Y","N","N","N","N","N","Daylight","Other","Driving or Bicycling Under the Influence of Alcohol or Drug","Non-Collision","N","N","N","N"
5497159,"N","Y","PDO (property damage only)","N",2012,10,"Winter","N","N","F","N","N","Y","N","N","N","N","N","Daylight","Sideswipe","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5497169,"N","Y","Injury (Complaint of Pain)","N",2012,10.5833333333333,"Winter","N","N","Th","Y","N","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5497175,"N","N","PDO (property damage only)","N",2012,14.1666666666667,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5497571,"N","Y","PDO (property damage only)","N",2012,14,"Winter","N","N","Tu","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5497599,"N","Y","Injury (Other Visible)","N",2012,1.75,"Winter","N","Y","Su","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Sideswipe","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5498931,"N","Y","Injury (Complaint of Pain)","N",2012,15.25,"Winter","N","N","Sa","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5500481,"N","Y","PDO (property damage only)","N",2012,11.6,"Winter","N","N","Tu","N","N","N","Y","N","N","N","N","Daylight","Head-On","Unsafe Lane Change","Fixed Object","N","N","N","N"
5500601,"N","Y","Injury (Complaint of Pain)","N",2012,9.5,"Winter","N","N","Tu","Y","N","Y","N","N","N","N","N","Daylight","Other","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5500812,"N","Y","Injury (Other Visible)","N",2012,15.8333333333333,"Winter","PM","N","F","Y","N","Y","N","N","N","N","N","Daylight","Head-On","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5500978,"N","Y","Injury (Complaint of Pain)","N",2012,10.3333333333333,"Winter","N","N","Sa","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5500998,"N","Y","Injury (Complaint of Pain)","N",2012,20.15,"Winter","N","N","Th","N","Y","Y","N","N","N","N","N","Dark - Street Lights","Overturned","Wrong Side of Road","Fixed Object","N","N","N","N"
5502831,"N","N","Injury (Other Visible)","N",2012,17.6666666666667,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Dark - No Street Lights","Vehicle/Pedestrian","Hazardous Parking","Pedestrian","N","N","Y","N"
5502865,"N","Y","Injury (Complaint of Pain)","N",2012,0.75,"Winter","N","Y","Sa","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5502955,"N","Y","Injury (Complaint of Pain)","N",2012,16.1666666666667,"Winter","PM","N","W","Y","N","Y","N","N","N","N","N","Daylight","Sideswipe","Lights","Other Motor Vehicle","N","N","N","N"
5502973,"N","N","PDO (property damage only)","N",2012,23.9166666666667,"Winter","N","Y","M","N","N","Y","N","N","N","N","N","Dark - Street Lights","Rear End","Wrong Side of Road","Parked Motor Vehicle","N","N","N","N"
5503006,"N","Y","PDO (property damage only)","N",2012,18.9166666666667,"Winter","PM","N","W","Y","Y","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5503022,"N","Y","PDO (property damage only)","N",2012,16.4166666666667,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Daylight","Other","Code 20","Other Object","N","N","N","N"
5503039,"N","Y","Injury (Other Visible)","N",2012,2.5,"Winter","N","Y","Su","N","N","Y","N","N","N","N","N","Dark - No Street Lights","Hit Object","Wrong Side of Road","Other Object","N","N","N","N"
5503045,"N","Y","Injury (Complaint of Pain)","N",2012,15.75,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5503079,"N","Y","PDO (property damage only)","N",2012,13.7,"Winter","N","N","W","N","Y","Y","N","N","N","N","N","Daylight","Overturned","Wrong Side of Road","Non-Collision","N","N","N","N"
5503097,"N","N","PDO (property damage only)","N",2012,6.83333333333333,"Winter","N","N","M","N","Y","N","Y","N","N","N","N","Daylight","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5503101,"N","Y","Injury (Complaint of Pain)","N",2012,13,"Winter","N","N","F","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5503426,"N","Y","Injury (Complaint of Pain)","N",2012,13.1666666666667,"Winter","N","N","W","N","Y","Y","N","N","N","N","Y","Daylight","Hit Object","Code 20","Other Object","N","N","N","N"
5503494,"N","Y","PDO (property damage only)","N",2012,15.4166666666667,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Daylight","Head-On","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5503956,"N","Y","PDO (property damage only)","N",2012,16.0833333333333,"Winter","PM","N","F","N","Y","Y","N","N","N","N","N","Daylight","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5504755,"N","Y","Injury (Complaint of Pain)","N",2012,0.25,"Winter","N","Y","Sa","N","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5504783,"N","Y","PDO (property damage only)","N",2012,8.58333333333333,"Winter","AM","N","Th","Y","N","Y","N","N","N","N","N","Daylight","Rear End","Driving or Bicycling Under the Influence of Alcohol or Drug","Other Motor Vehicle","N","N","N","N"
5504785,"N","Y","Injury (Complaint of Pain)","N",2012,9,"Winter","AM","N","W","N","N","Y","N","N","N","N","N","Daylight","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5504797,"N","Y","Injury (Complaint of Pain)","N",2012,11.5,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5505044,"N","Y","PDO (property damage only)","N",2012,8.58333333333333,"Winter","AM","N","W","N","Y","Y","N","N","N","N","N","Daylight","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5506083,"N","Y","Injury (Other Visible)","N",2012,18.0166666666667,"Winter","PM","N","Tu","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Other","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5506102,"N","N","PDO (property damage only)","N",2012,12.3333333333333,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5506131,"N","Y","PDO (property damage only)","N",2012,19.9166666666667,"Winter","N","N","M","N","N","Y","N","N","N","N","N","Dark - Street Lights","Hit Object","Driving or Bicycling Under the Influence of Alcohol or Drug","Fixed Object","N","N","N","N"
5506764,"N","Y","PDO (property damage only)","N",2012,12.5,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Daylight","Overturned","Automobile Right of Way","Fixed Object","N","N","N","N"
5506803,"N","Y","PDO (property damage only)","N",2012,14,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Daylight","Other","Automobile Right of Way","Non-Collision","N","N","N","N"
5506819,"N","Y","PDO (property damage only)","N",2012,14.5833333333333,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Daylight","Rear End","Unsafe Starting or Backing","Other Motor Vehicle","N","N","N","N"
5506839,"N","Y","PDO (property damage only)","N",2012,11.5833333333333,"Winter","N","N","Sa","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Lights","Other Motor Vehicle","N","N","N","N"
5506954,"N","N","PDO (property damage only)","N",2012,7.46666666666667,"Winter","AM","N","W","N","Y","Y","N","N","N","N","N","Daylight","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5507124,"N","Y","Injury (Complaint of Pain)","N",2012,19.25,"Winter","N","N","Su","N","N","Y","N","N","N","N","N","Dark - Street Lights","Other","Other Improper Driving","Other Object","N","N","N","N"
5507195,"N","Y","Injury (Other Visible)","N",2012,16.4166666666667,"Winter","PM","N","M","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5508161,"N","Y","PDO (property damage only)","N",2012,17.6666666666667,"Winter","PM","N","Th","Y","N","Y","N","N","N","N","N","Dusk or Dawn","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5508594,"N","Y","Injury (Complaint of Pain)","N",2012,14.8333333333333,"Winter","N","N","F","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5509050,"N","Y","Injury (Complaint of Pain)","N",2012,16.9166666666667,"Winter","PM","N","Th","N","Y","Y","N","N","N","N","N","Daylight","Sideswipe","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5509966,"N","Y","Injury (Complaint of Pain)","N",2012,14.9166666666667,"Winter","N","N","F","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5510636,"N","Y","PDO (property damage only)","N",2012,15,"Winter","PM","N","W","N","Y","Y","N","N","N","N","N","Daylight","Overturned","Automobile Right of Way","Non-Collision","N","N","N","N"
5510694,"N","Y","Injury (Complaint of Pain)","N",2012,21.8833333333333,"Winter","N","N","Su","N","Y","Y","N","N","N","N","N","Dark - Street Lights","Overturned","Unsafe Speed","Non-Collision","Y","N","N","N"
5510705,"N","Y","PDO (property damage only)","N",2012,14.6666666666667,"Winter","N","N","Sa","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5510706,"N","Y","PDO (property damage only)","N",2012,16.5,"Winter","N","N","Sa","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5511009,"N","Y","Injury (Complaint of Pain)","N",2012,15.6666666666667,"Winter","PM","N","W","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5511132,"N","Y","Injury (Complaint of Pain)","N",2012,7.75,"Winter","AM","N","Th","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Pedestrian Right of Way","Other Motor Vehicle","N","Y","N","N"
5511342,"N","Y","Injury (Complaint of Pain)","N",2012,19.1666666666667,"Winter","N","N","Tu","N","Y","Y","N","N","N","N","N","Dark - Street Lights","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5512183,"N","Y","PDO (property damage only)","N",2012,13.1666666666667,"Winter","N","N","F","N","Y","Y","N","N","N","N","N","Daylight","Sideswipe","Automobile Right of Way","Other Motor Vehicle","N","N","N","N"
5513374,"N","Y","PDO (property damage only)","N",2012,21.5833333333333,"Winter","N","N","W","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Sideswipe","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5513594,"N","Y","Injury (Complaint of Pain)","N",2012,15.75,"Winter","PM","N","M","N","N","N","Y","N","N","N","N","Daylight","Other","Code 20","Parked Motor Vehicle","N","N","N","N"
5513837,"N","Y","PDO (property damage only)","N",2012,22,"Winter","N","N","Tu","N","N","Y","N","N","N","N","N","Dark - Street Lights","Sideswipe","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5513895,"N","Y","Injury (Complaint of Pain)","N",2012,18.4166666666667,"Winter","PM","N","Th","N","N","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5513968,"N","Y","Injury (Complaint of Pain)","N",2012,0.75,"Winter","N","Y","Su","N","N","Y","N","N","N","N","N","Dark - Street Lights","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5514650,"N","Y","Injury (Complaint of Pain)","N",2012,14.75,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Daylight","Hit Object","Wrong Side of Road","Fixed Object","N","N","N","N"
5515927,"N","Y","Injury (Other Visible)","N",2012,12.6666666666667,"Winter","N","N","Sa","N","N","Y","N","N","N","N","N","Daylight","Head-On","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
